JI1_140112	JI1_140112,JI8_24235
BE-INF_51244	BE-INF_51244,BE-EFF_14746,BE-AS_19209
TG-DS_253019	TG-DS_253019,TG-EFF_177762,TG-AS_139961
IL14_124652	IL14_124652,IL13_23773,PL62_136284,PL15_903
JI14_271310	JI14_271310,JI13_142292,JI10_152750,JI6_78453,JI5_34232,JI7_206722,JI8_188025,JI9_80793,JI1_25431,JI11_169351
WT-EFF_92985	WT-EFF_92985
TE-DS_192720	TE-DS_192720,TE-AS_53778,TU-DS_22938,TU-AS_291924,TU-EFF_220420,TE-EFF_237182,IL12_75326,IL30_41437,IL29_57523,IL8_5001,IL10_9530,IL9_12046
JI5_71569	JI5_71569,JI6_26935,JI4_109857,JI7_54299
EM-EFF_285893	EM-EFF_285893,TE-INF_78973,ZR-AS_147938,TG-EFF_85980,AH-EFF_110367,MN-INF_155662,TE-EFF_37222,TE-AS_185810,EM-DS_300384,AD-INF_222147,FD-EFF_138904,FR-EFF_218705,EM-AS_55278
PL22_399	PL22_399,PL27_2947,PL65_86885,PL36_22631,PL45_41741,PL26_40062,PL19_1692,PL18_7950,ES38_581,ES44_4757,ES35_29991,ES39_1529,ES36_11176,ES42_9976,ES43_18655,OC4_6107,IL31_100958,HP79_23859,IL34_157197,PL31_1017,JI6_86223,HP1_1730,HP2_11002,HP24_5854,HP3_3154,HP38_7459,HP11_8600,SJ6_2117,HP47_264491,SJ14_4250,HP53_33987,HP52_9729,PL29_3052,PL62_85349,PL68_90620,PL12_15153,HP59_3348,HP82_2266,PL70_15465,HP4_62811,IL6_56898,PL23_2544,JI5_313067,JI5_158886,JI4_134298,IL3_129815,JI4_47698,PL72_9350,HP84_22035,HP76_174772,HP80_18553,SJ7_2166,PL30_1979,HP12_126118,HP92_1745,IL20_103060,PL75_13545,HP74_16535,ES46_29,PL66_19857,JI9_62024,JI6_104452,IL13_23491,IL2_165689,IL18_57794,JI1_86104,HP73_25035,HP22_461,IL20_38730,OC5_1088,HP72_29709,IL38_109826,IL40_62176,HP91_5969,IL19_73532,HP54_5639,HP19_2570,HP23_385,IL25_32626,ES33_25626,HP19_5632,IL24_16379,HP20_1196,HP18_4474,IL27_37350,HP72_6446,JI3_126996,ES32_48992,SJ5_2390,HP82_22812,HP17_10358,HP74_12760,HP20_2301,HP17_3467,IL22_46831,IL19_2212,HP73_66623,IL3_15718,HP75_98406,HP22_5118,IL5_921,HP21_3362,HP32_9357,IL16_119420,HP48_12272,HP23_804,IL28_78480,JI3_125153,HP80_18169,HP1_558,JI2_262739,HP81_66513,IL23_73089,IL18_29546,PL24_3411,HP78_81666
WT-EFF_61805	WT-EFF_61805,WT-AS_168172,WT-INF_244159
XS2_35605	XS2_35605,XS1_88380,XS3_76255
PL67_50686	PL67_50686,PL69_62244,PL4_1841,PL66_22312,PL75_6702,PL56_7124,HP83_78154,PL5_9518,PL64_199618,PL70_15078,PL48_9401,PL72_11000,PL49_40667,PL20_1466,PL68_165838,PL2_8183,PL46_7423,PL3_9967,PL63_31571,PL1_9437,PL25_4919,PL45_11228,PL34_26611,PL62_50372,PL65_79560,PL27_3033,PL13_5539,PL28_82091,PL19_3531,PL50_50095,PL61_12881,PL32_4060,PL58_996
ES16_5661	ES16_5661
HP76_61610	HP76_61610,HP74_4664,HP79_113051,HP75_7195
PL20_2827	PL20_2827
AH-DS_166385	AH-DS_166385,AH-EFF_14699
IL35_17531	IL35_17531
JI1_144629	JI1_144629,JI3_324448,JI2_392998
MN-AS_297846	MN-AS_297846,TG-EFF_361989,MN-EFF_14990
JI6_139147	JI6_139147,JI5_214973,JI2_150342,JI4_139645,JI3_390936,TG-EFF_308638,JI1_186171
WT-EFF_195438	WT-EFF_195438,WT-INF_261148,WT-AS_73334,WT-DS_295364
HP35_1313	HP35_1313,HP25_5207,HP12_98652,HP11_149996,HP3_8775,HP38_12198,HP2_11394,HP34_439,HP27_13150,HP26_5324,HP37_130691,HP4_63791,HP48_90808,HP32_6924,HP31_6780,HP76_161594
JI5_305893	JI5_305893,JI7_171808
IL4_106112	IL4_106112,IL23_15746
JI5_242798	JI5_242798,JI4_174250,JI5_311452
SF56_16033	SF56_16033,SF61_108282,SF48_194194,SF54_82922,SF7_6679,SF45_33998,SF5_48052,SF62_16891,SF8_2879,SF6_41460,SF55_47718,SF53_3025,SF47_4228,SF46_61022,SF43_29298,SF24_39200,SF16_25614,SF49_75746,TU-EFF_141284,TU-DS_94785,TU-AS_265679,EM-AS_131315,SF66_75929,SF52_133992,TE-EFF_218574,TE-AS_325167,TE-DS_177310,SF9_16910,FR-EFF_182017,AD-EFF_65485,SF68_137256,SF42_21778,SF65_57753,IL13_60891,SF64_76109,SF51_64911,JI13_280251,SF44_18336,EM-DS_161821,SF3_30055,SF10_44917,FR-INF_108209,SF67_65556,SF50_11957,IL14_32422,JI14_199000
TG-EFF_152546	TG-EFF_152546,SF43_47629,SF44_22311,SF24_46467,SF45_54477
NG1_339899	NG1_339899
JI5_129357	JI5_129357,JI4_231852,JI6_196511,JI9_116346,JI8_168778,IL34_117828,IL39_65669,JI2_305947
SB3_4649	SB3_4649
PL66_58933	PL66_58933,PL56_5538,PL75_7992,PL62_69668
EM-AS_274541	EM-AS_274541,EM-EFF_135187,EM-DS_339893,AH-EFF_12093,TU-EFF_73376,TU-INF_7519
JI7_89430	JI7_89430
TG-DS_252356	TG-DS_252356,TG-EFF_137496,SF65_151473,TU-EFF_122973,JI1_340320,JI3_205574,JI2_343201,AD-EFF_68059,TG-AS_99124,FR-EFF_1132,TU-DS_143749,SF58_102464,SF57_202398,SF66_89305,SF68_134084
JI3_72214	JI3_72214,JI1_93553,JI2_33628,JI9_11179
ZR-EFF_94182	ZR-EFF_94182,ZR-AS_82327,ZR-DS_336699
PL20_2685	PL20_2685
AH-AS_305977	AH-AS_305977,AH-DS_101794,TG-DS_231883,KB14_95423,EM-DS_382441
WT-AS_116996	WT-AS_116996,WT-EFF_282548,WT-DS_341608
JI13_141794	JI13_141794,JI14_194420
EM-AS_105604	EM-AS_105604,WT-EFF_177085,EM-DS_282042,WT-AS_223882,WT-DS_229579,AH-AS_227718,AH-DS_173479,SF48_12570,SF49_66422,SF52_93049
JI7_146421	JI7_146421,JI3_291874,JI9_142024,JI14_255472,JI7_90661
TU-DS_360066	TU-DS_360066,TU-AS_93147,FR-AS_99685,TU-EFF_6577,FR-DS_138238,TG-AS_48215,AH-AS_90366,AH-DS_161937,TG-DS_102781,FR-EFF_100704
ES36_4411	ES36_4411,ES42_5638,ES44_3824,PL70_8677,PL75_1692,PL66_16614,ES16_4255,ES31_720,PL68_61489,HP80_9808,HP84_24916,ES46_5472,PL72_19850,ES45_3935,ES9_4460,ES32_27900,ES39_11874,HP91_2184,ES11_142231,PL65_58678
TG-EFF_29313	TG-EFF_29313,TG-DS_298542
PL15_3603	PL15_3603,PL16_3328
ES29_78831	ES29_78831,ES33_89262,ES32_55663,ES28_14580
HP92_2996	HP92_2996,HP1_1458,HP4_62262,HP40_8614,HP32_2207,HP47_376033,HP24_4979,HP79_191260,HP49_81055,HP3_2634,HP59_5224,HP91_3634,HP11_136817,HP84_13941,HP35_10465,HP2_2403,HP48_148950,HP60_214296,HP26_2706,HP37_229642,HP61_212501,HP73_133963,HP19_2012
JI5_59304	JI5_59304,JI6_60505,JI4_22053,JI2_154760,JI1_76861,JI3_463142
NG1_109375	NG1_109375
AH-INF_212390	AH-INF_212390,AH-AS_172602,AH-EFF_96855,AH-DS_343949
JI1_35854	JI1_35854
MN-EFF_15722	MN-EFF_15722,MN-AS_54515,TG-EFF_96912,MN-INF_161408,TG-DS_124276,TG-AS_53180,MN-DS_241848,MN-DS_86583
JI8_58910	JI8_58910,JI7_251741,JI3_500715,JI9_135729,JI6_98801,JI5_40889,JI1_316759,JI11_145855,JI4_115355,JI2_411668,TE-EFF_10512,JI10_8839,JI6_122472,JI4_158820,JI1_189779,JI10_166978,JI5_308705,JI14_96960,JI12_85208,JI14_66055
TU-AS_227803	TU-AS_227803,TU-DS_12248,TU-EFF_58824,WT-AS_49612,IL35_7361,IL41_27579,AD-AS_240389,JI2_251895,IL37_92442,JI5_162977,IL42_16085,JI1_232469,JI13_273894,JI7_244988,IL32_61663,HY2_134281
JI3_148765	JI3_148765,JI1_253765,JI14_94538,JI13_198480
MN-DS_184552	MN-DS_184552,MN-AS_102991
HP82_19163	HP82_19163,HP56_74582,HP1_176,HP32_9840,HP3_2788,HP24_2549
MN-AS_24764	MN-AS_24764,MN-INF_208382,MN-DS_16722,TU-EFF_316097,TU-DS_391111,TU-AS_73770,FR-EFF_70680,MN-EFF_142852,AD-EFF_135125,TU-INF_144940
MN-INF_5230	MN-INF_5230,MN-EFF_192705,MN-DS_262710,MN-AS_86575
IL34_160672	IL34_160672,IL39_33075
ZR-DS_8549	ZR-DS_8549,ZR-EFF_179290,ZR-INF_16962,ZR-AS_166295
PL28_29440	PL28_29440,PL25_463,PL34_10834,PL45_25938,PL13_7457,ES46_3815,PL33_2643,HP37_224740
TU-INF_176753	TU-INF_176753,FR-INF_100713,FD-INF_264192,TU-DS_92868
PL46_9788	PL46_9788
WT-EFF_44277	WT-EFF_44277,WT-AS_352993,WT-DS_366053
IL36_27221	IL36_27221,IL32_133162,IL37_64375
PL66_29465	PL66_29465,PL75_13358,PL72_17457,PL70_9113,HP83_87963,PL68_83932,PL16_1804,PL69_58278,PL15_798,PL65_118030
JI4_140220	JI4_140220,JI5_61819,JI6_172912
NG1_284234	NG1_284234
TG-AS_70823	TG-AS_70823,TG-DS_239322
IL29_34631	IL29_34631,IL10_21967,IL9_42892,IL12_69756,IL8_14505,IL30_17133
AH-DS_255311	AH-DS_255311,AH-AS_128687,AH-EFF_78817
JI5_290156	JI5_290156,JI8_57107
JI9_104383	JI9_104383,JI7_102644,JI5_139448,JI6_87847,JI4_44566
JI2_347475	JI2_347475,JI3_476165,JI1_260630
TE-DS_407998	TE-DS_407998,TE-AS_139980,TE-EFF_242775
HP84_3079	HP84_3079,PL75_2103,PL65_5865,HP80_7238,PL69_45742,ES35_5218,OC3_7328,PL63_25691,ES39_618,SJ14_1448,ES46_5473,HP83_11553,SJ5_3688,HP82_19107,SJ7_503,HP73_52246,ES29_10937,NC3_2736,PL70_4458,OC5_1464,HP79_52835,HP76_81076,ES32_36135,PL66_1955,PL68_66010,SJ6_5652,HP74_24623,PL72_11552,ES33_105784,ES36_23931,ES15_224,ES31_14655,OC7_3706,SB3_5512,ZS1_39743,OC4_6988,ES30_13655,ZS2_6446,ES42_866,XS1_77978,HP91_3496
EM-DS_220343	EM-DS_220343,EM-EFF_213121
FD-INF_145400	FD-INF_145400,EM-INF_105256,ZR-INF_15224,AH-DS_250374,TG-INF_268100
LK1_28423	LK1_28423
JI9_43266	JI9_43266,JI7_48946
TG-EFF_126344	TG-EFF_126344
IL11_82311	IL11_82311,IL13_6603,IL14_91357
EM-DS_383451	EM-DS_383451,EM-AS_154906,AH-DS_132320,FD-DS_113719,WT-DS_40322,EM-EFF_205653,AH-AS_336177,FD-AS_324113,TG-DS_253833,TU-EFF_342318,WT-DS_122770,SF58_33578,WT-AS_217373,TE-DS_346104,TU-AS_249156,SF57_78463,TU-DS_226383,AD-INF_120051,TG-AS_208494,ZR-DS_143864,JI3_460178,SF67_204334,AD-DS_46586,ZR-DS_88601,AD-AS_315515,SF68_93694,SF65_124927,SF57_63752,IL41_31553,WT-AS_209137,TE-DS_95721,FD-EFF_59932,JI2_354160,AD-DS_54147,IL34_37650,FD-AS_122736,TE-AS_287897,IL35_95441,ZR-AS_111116,ZR-AS_164424,WT-INF_184564,IL42_44569
JI13_327122	JI13_327122
EM-EFF_183879	EM-EFF_183879,EM-DS_32939,EM-AS_215810
HP1_4560	HP1_4560,HP11_6945,HP24_1937,HP12_112609,HP3_3347,HP2_4766
HP25_5037	HP25_5037
JI5_179715	JI5_179715,JI13_66395,JI4_95729
TU-EFF_307124	TU-EFF_307124,KB10_30739,JI5_323521
WT-INF_30427	WT-INF_30427
JI2_336533	JI2_336533,JI5_69152,IL14_115881,JI6_174160,JI9_125677,JI3_84008,JI7_177930,JI13_154718,JI1_88191,JI13_136263,JI10_154239,JI8_87353
ZS3_23146	ZS3_23146,ZS1_55621
SF42_24166	SF42_24166,SF41_32019,SF43_4492,SF45_13062,SF24_45131,SF46_57851,SF48_140772,SF44_18393,SF47_59475,SF51_90156,SF49_30086,SF52_118199
IL41_142692	IL41_142692,IL35_35565,IL42_103632,IL34_187916
FR-AS_108899	FR-AS_108899,FR-DS_101292,EM-AS_197359,EM-DS_129658,ZR-AS_71675,TU-DS_355431,TU-EFF_273188,TG-AS_114801,TU-AS_59158,TG-DS_218286,FR-EFF_95483,AD-EFF_196331
XS1_62668	XS1_62668,XS3_85607,XS2_59758
ES21_111741	ES21_111741,PL4_5574,PL5_5362
JI8_181038	JI8_181038
SB1_5190	SB1_5190,HP91_5754,ES46_96,SB3_2803,SJ14_3907,HP92_5543,HP19_2024,ES44_2328,OC3_10872,ES42_9152,ES11_37935,SJ7_811,ES9_785,ES16_7085,OC4_6376,HP82_7435
JI13_313135	JI13_313135
AH-AS_368028	AH-AS_368028,AH-DS_77704,ZR-AS_316988,ZR-DS_221992,ZR-EFF_179845,AH-EFF_83202
SF55_58941	SF55_58941,SF50_95383
ES22_16045	ES22_16045,SJ7_5219,ES26_31759,ES28_25412,ES18_32196,ES21_129502,ES23_4076,HP48_63313,ES25_49963,ES20_10466,HP38_10119,ES1_1174,HP6_142845,PL4_4271,PL63_13998,HP82_19200,HP80_18840,HP4_128051,ES3_9678,PL53_6136,ES17_1349,PL72_18115,PL12_1868,HP35_6378,PL57_59651,HP29_48973,ES40_44483,ES39_91,ES19_25176,HP84_21961,PL70_10967,HP83_17918,HP36_407120,ES29_4175,HP1_3120,HP18_5710,OC4_6378,HP20_4638,HP49_45994,OC9_565,PL3_8920,HP3_5004,ES35_11189,ES36_3452,PL13_13288,SB3_1318,HP22_1820,HP59_3889,ES30_11188,OC8_2292,HP19_1449,ES15_2005,ES31_4454,PL2_1039,HP34_14776,HP25_3099,HP73_39991,HP12_130699,OC3_11175,HP52_8430,PL49_63926,HP26_2787,PL5_17408,PL59_8993,HP92_2467,PL18_233,HP47_325129,PL29_4014,PL1_4887,ES46_2825,HP11_40270,PL40_10458,HP24_1932,ES42_6465,HP37_147442,HP74_13453,PL75_13815,OC7_2466,HP91_6202,HP2_5359,HP17_143,SB1_2498,ES42_7223,HP7_8883,ES30_8928,ES38_3487,PL46_207,ES15_4564,PL62_105323,PL66_14651,ES27_3808,PL68_113414
PL28_107241	PL28_107241,PL34_8306,PL25_4330,PL45_64386,PL32_42828
FR-AS_127636	FR-AS_127636,FR-DS_85334
HP22_5598	HP22_5598,HP40_447,HP3_3842,HP1_3278,PL75_5052,HP38_14744,HP4_131930,PL20_2672,HP37_232309,PL66_14273,PL56_2008,ES31_8515,HP24_5595,ES29_18263,ES30_9605,HP21_9884,PL5_13417,PL49_30218,PL15_3479,PL46_421,HP79_97587,HP72_23699,HP11_24566,HP18_2715,PL63_8690,PL4_8147,PL61_11860,HP35_9883,HP20_5973,HP23_4906,HP34_18942,HP76_66409,ES38_4390,HP74_5405,PL18_463,HP25_7995,HP47_164120,HP27_8289,PL70_1447,PL2_2739,HP26_4708,HP2_13565,ES9_3225,ES40_48094,ES32_23722,HP19_3413,SJ7_5325,ES28_14910,PL25_4788,PL27_3214,PL19_1847,ES43_42828,ES39_12487,PL1_4804,PL50_49576,HP17_2001,PL68_16222,ES11_11609,PL13_7703,XS2_19204,HP31_4876,HP84_5075,PL45_59999,PL62_111834,OC9_98,HP59_3344,PL65_94715,ES33_92231,PL3_5233,HP78_123832,ES36_3391,PL47_1146,PL48_6234,PL67_24171,HP32_1210,HP12_108915,PL34_16014,OC6_9426,HP81_204942,PL16_729,PL72_3723,HP92_5676,SB3_1744,HP82_3525,PL58_2292,OC8_1512,HP52_7015,ES3_2997,OC7_3610,SJ6_605,HP75_94009,HP91_1473,HP48_166046,HP73_67967,ES35_6350,SB1_2373,PL26_11590,ES15_7656,OC5_3229,ZS2_45757,HP54_102738,HP83_15108,PL33_3102,HP80_7680,ES1_2570,ES44_2555,WT-INF_249811,ES16_3444,PL36_20286,HP6_106221,SJ8_298,LK1_67242,OC3_7364,PL69_50168,XS1_85706,ES46_2165,JW6_304,HP53_66796,ES17_221,SJ14_2871,HP49_70531,PL71_117890,NC2_1747
HP91_2450	HP91_2450,ES39_12431,HP79_67844,HP80_16775,ES31_12352,HP74_24356,PL66_39894,HP32_100,ES9_333,HP4_57062,HP73_9019,ES46_4313,ES38_4779,HP19_3311,HP34_8785,HP47_189612,ES1_2279,SB3_698,HP3_7163,HP11_14111,ES29_36152,HP23_4808,HP35_1334,HP18_4297,HP40_9111,PL75_6369,HP2_4819,HP37_125744,OC3_4674,HP26_6185,HP17_931,HP76_74644,HP27_26739,PL72_1435,HP25_1705,HP38_5671,PL69_13874,HP24_1563,HP81_113930,HP82_9177,HP84_12310,HP92_3373,HP83_7893,SJ6_2301,OC4_7780,SB1_3647,ES40_21449,HP1_4761,PL56_6283,ES43_89852,ES15_951,NC3_364,ES33_72705,SJ14_963,HP72_29167,ES36_4387,SJ7_3192,OC5_3134,PL15_3372,SJ5_4354,PL19_573,ES28_26998,PL70_8517,PL5_17273,ES11_6283,PL65_115878,PL62_77287,PL13_6245,OC7_3699,PL34_22390,PL68_101978,PL67_30716,XS1_84010,PL45_72859,OC8_1434,PL46_4385,ES32_74709,HP22_6566,ES35_43488,PL63_26149,PL49_81982,PL18_841,XS2_61614,XS3_23531,OC9_1399,ES16_5689,PL4_7888,HP21_1790,PL50_13761,HP20_227,PL28_9091,HP31_5907,OC6_75,PL61_34252,HP49_58166,ES42_19257,ES3_4505
PL68_108490	PL68_108490,HP83_119270,PL66_27286,PL63_20063,PL58_3194,PL72_5249,PL61_15878,PL75_10344,PL55_4855,PL67_36087,PL56_11418,PL65_19681,PL64_265311,PL70_16248,PL62_30716,PL69_75905,IL33_54305,WC4_16425,WC35_44159,WC32_32197,WC2_8262,WC29_9130,WC21_41145,WC13_35069,WC6_17503,WC34_7429,WC33_34227,WC31_41910,WC30_29251,WC25_8939,WC20_15121,WC10_63589,IL12_28143,WC8_39408,WC5_22612,WC43_2323,WC26_14102,WC1_30193,WC18_18353,WC16_4824,IL9_110259,IL10_58979,WC11_11875,WC7_8646,WC17_14053,WC12_11345,WC9_35837,WC3_14145,WC28_17449,WC19_10862,WC27_10117,IL39_45533
IL35_50872	IL35_50872,IL10_13431
JI11_151342	JI11_151342,JI10_2112,JI8_60890,JI4_221524
FD-EFF_100479	FD-EFF_100479,WT-INF_134449
FR-INF_297154	FR-INF_297154
HP35_11051	HP35_11051,HP49_19658,HP37_74448,HP84_7024,HP36_43685,HP27_35189,HP26_5920,HP25_625,HP82_15678,HP48_136959,HP32_6499,HP80_1165,HP4_155233,HP24_1934,ES1_1151,ES15_817,ES16_5921,HP79_91070,HP73_97019,HP75_73224,ES3_8009,HP59_5438,HP47_109809,HP1_5656,HP34_1198,HP28_191043,HP76_131613,HP38_11841,ES31_4461,HP52_7885,ES40_26671,ES30_6587,HP72_145970,HP11_124147,HP74_6004,HP2_14770,HP53_64650,HP32_2979
MN-AS_278004	MN-AS_278004,MN-DS_250232,MN-EFF_151040,JI2_270412,MN-INF_15812,JI4_84692,JI3_385228
IL10_59171	IL10_59171,IL12_61549,IL33_82400,SA1_4925,IL34_57288
ES3_6445	ES3_6445
HP48_166742	HP48_166742,HP34_6717,HP38_1852,HP10_124697,HP49_57838,HP3_8824,HP12_113047,HP35_3506,HP29_63771,HP25_7621,HP37_67322,HP28_95078,HP26_7723,HP52_10864,HP6_56221,HP36_111846,HP51_13045,HP47_336471,HP40_9022,HP31_6225,HP2_9138,HP27_33910,HP24_3479,HP19_2616,HP45_31634,HP11_47437,HP22_6730,HP39_45078,HP32_5344,HP4_84607,HP17_2620,HP1_4248,HP53_85246,HP20_1288,HP60_114563,HP82_14486,HP62_78752,ES3_9166,PL58_3855,PL72_18881,ES32_30861,IL34_65971,HP83_114209,PL50_9695,WT-INF_175865,IL33_106482,HP30_1432,HP76_70129,HP73_72993,AH-INF_73187,PL68_2060,PL65_123079,PL60_1964,PL48_4406,SF68_69778,TE-INF_93623,HP79_174933,HP84_2106,HP80_6515,IL39_69947,PL75_2065,PL70_15502,PL69_118919,TE-EFF_218825,AH-EFF_57595,ES31_5118,MN-INF_54372,PL61_41672,HP23_2820,PL56_1463,PL46_6602,PL63_6016,HP56_178137,ES29_103434,PL66_45746,AH-AS_261155,HP44_25514,IL35_90705,PL47_2873,PL62_95758,PL49_8727,ES46_2022,MN-EFF_96880,IL36_98067,TU-AS_258398,WT-AS_198434,EM-INF_83338,HP74_14787,SF52_86530,EM-EFF_190328,TU-DS_103271,ES30_7409
IL34_35702	IL34_35702
JI4_140594	JI4_140594,JI5_74233,JI6_72963,JI1_38269
JI5_161017	JI5_161017,JI11_101107
SJ5_2334	SJ5_2334,SJ6_4399,ES16_6802,NC3_1390,OC5_3130,OC4_291,HP91_4528,HP22_4524,HP18_2243,HP19_330,SJ7_795,OC3_2487,HP2_12373,SJ5_1435,SJ6_1664,HP47_114409,HP4_168402,SJ7_3995,OC8_2429,PL15_243,ES15_6146,OC4_6565,HP38_12539,OC8_2996,ES3_8657,OC7_1768,HP3_1915,HP49_35932,HP1_4432,HP20_4921,HP24_4671,HP17_10427,ES15_353,ES11_57673,HP11_24874,OC3_9173,HP40_9258,PL3_11555,SJ14_6021,ES9_378,NC3_1691,HP21_4266,PL16_1613,HP19_2179,ES40_15661,ES46_5984,HP37_85426,ES28_29613,ES9_5540,PL3_11218,HP36_202119,ES1_3553,PL5_7241,ES16_641,HP22_4739,OC7_834,HP17_2379
PL75_7862	PL75_7862,PL72_6508,PL70_10295,HP83_109171,NC3_2467,PL66_38853,PL68_84874,MN-EFF_92011,WS1_119998
JI13_329668	JI13_329668,JI3_100461,IL37_50483,JI2_209370,IL32_161855,IL35_15251,IL36_102914,JI1_179792,IL41_31828
JI2_42024	JI2_42024,JI3_148347,JI5_90992,JI4_151051
JI2_283814	JI2_283814,JI3_66148,IL41_108368,IL35_85997
WT-AS_101618	WT-AS_101618,WT-DS_374410,WT-EFF_147808,WT-INF_227811
WT-INF_145833	WT-INF_145833,WT-AS_136516,WT-DS_290394,TE-DS_351008,WT-EFF_109527
TU-DS_233338	TU-DS_233338,TU-AS_25736,ES36_8949,TU-EFF_197880
JI8_101966	JI8_101966,JI6_135047,JI5_227130,JI3_265161,JI4_216420,JI10_48711,JI1_63107,JI11_155279
SF60_150530	SF60_150530
HP92_1031	HP92_1031,HP80_19626
SJ7_927	SJ7_927,ES11_111166,ES44_4074,ES9_1044,OC5_3167,OC6_8971,OC7_1322,HP18_4969,ES42_3090,HP91_2246,SJ5_3565,HP17_1526,ES46_4507,SJ14_6007,HP19_2755,HP92_5886,SB3_5441,SB1_1027,HP82_25053,ES16_4686,NC3_1367,SJ12_528,PL15_3265,HP20_4665,SB6_697,ES43_66480
IL41_86009	IL41_86009,IL35_105036,IL34_53068,IL42_24618
JI12_13555	JI12_13555,JI13_183428,JI14_43024
AH-INF_43851	AH-INF_43851
IL30_9991	IL30_9991,IL9_37181,IL12_20274,IL10_83661,IL8_16212,IL29_44935
NI1_49742	NI1_49742
SF51_191337	SF51_191337,SF50_94266
OC3_308	OC3_308,PL75_13321,HP82_23196,SJ6_3029,HP84_20361,HP74_23367,SJ5_3370,HP73_43768,PL70_12011,PL72_15167,PL66_51082,HP80_1319,HP76_42751,HP81_81215,OC4_7911,SJ7_2817,SJ14_1453,ES39_6058,PL69_82934,ES36_18533,HP91_341,HP92_6194,NC3_3614,HP83_78224,HP79_112224,OC5_1783,PL63_17033,HP19_5041,OC7_970
AD-AS_34968	AD-AS_34968
JI5_259894	JI5_259894,JI8_78483,JI6_98283,JI3_419107
JI5_191123	JI5_191123
HP91_3513	HP91_3513,HP17_7993,HP19_867,HP73_49682,HP35_10706
ZR-DS_385399	ZR-DS_385399,ZR-EFF_71120,ZR-AS_165955
WC6_1408	WC6_1408,WC1_10759,WC25_41113,WC32_38814,WC5_566,WC21_20414,WC10_11358,WC7_25207,WC8_18415,WC9_6602,WC35_58606,WC18_53434,WC33_40192,WC16_13308,WC23_5394,WC31_3713,WC13_9130,WC3_20170,WC43_12458,WC14_45445,WC20_36406
MN-AS_264523	MN-AS_264523,ZR-DS_179618,SF64_140563,SF59_111279,SF57_127367,SF66_56758,EM-AS_119435,AH-DS_32014,EM-DS_368476,SF62_200391,SF65_24652,FD-DS_122569,TE-DS_10513,FD-AS_78720,SF52_240516,MN-EFF_50481,TE-AS_378493,WT-DS_207866,SF63_222175,SF68_146198,SF58_27131,AH-AS_177836,SF51_121459,AD-AS_156907,FD-EFF_182477,AD-DS_152622,WT-AS_191870,MN-DS_258288,SF56_116470,TU-DS_395335,TU-AS_126566,SF67_121282,WT-EFF_299878,WT-INF_27559,JI2_47475,ZR-AS_153193,SF55_20617,JI3_215618,WT-AS_288950
ES36_19417	ES36_19417
FD-EFF_17933	FD-EFF_17933,FD-AS_245780,FD-DS_231862,FD-INF_25159,SF39_31811,SF40_34488
TU-DS_362385	TU-DS_362385,TU-EFF_201514,TU-AS_224864,FR-EFF_120717,SF8_549
JI3_455994	JI3_455994,JI2_358034,JI1_295541
AD-EFF_87986	AD-EFF_87986
WT-EFF_2889	WT-EFF_2889,WT-INF_220296,WT-DS_230609
AH-AS_249725	AH-AS_249725,AH-DS_193381,AH-INF_157799,AH-EFF_149478,AD-AS_137869
BE-INF_46560	BE-INF_46560,BE-AS_4324,BE-AS_20790,IL12_113059
ZR-AS_90619	ZR-AS_90619,ZR-DS_267764
HP38_10450	HP38_10450,HP37_49398,HP17_8648,HP24_5198,HP32_1940,HP49_23038,HP36_33861
PL75_13458	PL75_13458,HP83_99526,ES15_1562,HP49_33643,SB3_6126,ES16_2300,HP84_20192
EM-EFF_33085	EM-EFF_33085,EM-AS_256053,EM-DS_240962,EM-INF_191254
AH-DS_304285	AH-DS_304285,AH-EFF_154060,AH-AS_314834
ES44_1502	ES44_1502,ES45_5586
HP82_14719	HP82_14719,LK1_67601
WT-EFF_33610	WT-EFF_33610
PL63_25578	PL63_25578,PL50_54930,HP83_63525,PL75_3722,PL66_25492,PL49_82614,PL68_112176,PL70_8134,PL62_79328,PL65_105708,PL61_48500,PL60_975,PL58_2257,PL15_397,PL48_5817,PL69_9678,PL72_9093
ES39_1580	ES39_1580,ES42_7265,HP17_386,HP3_3515,HP38_8799,HP35_7249,SJ6_310,HP37_196316,SJ14_2213,ES46_3911,OC9_1766,HP83_134434,HP52_7310,HP25_3433,HP6_124,ES15_1114,HP80_4079,SJ5_1433,ES30_3503,HP32_8109,ES1_2518,HP91_4675,HP20_1511,ES38_4154,HP79_175431,HP48_10817,HP34_9273,ES44_1663,HP32_2107,PL1_3872,ES20_2333,HP47_93242,HP40_8494,ES29_9450,OC3_3176,HP76_30756,HP4_127322,HP18_5376,ES31_13571,XS3_44520,ES3_5847,HP74_24158,PL34_22473,HP19_5318,ES17_2491,HP27_15491,ES34_74803,ES40_37495,HP78_24001,HP26_5355,HP72_57341,ES36_29336,ES32_10263,PL56_3143,ES9_2735,HP36_198810,SB1_2724,PL75_6538,OC4_2988,PL66_981,PL72_14529,HP24_1081,OC8_2658,ES35_29215,PL20_5236,ES11_72947,ES28_16500,PL72_16325,PL63_5631,OC7_804,PL46_3719,HP21_11404,HP84_8392,OC5_587,PL61_42069,PL70_10153,PL18_4770,HP1_5205
AH-INF_18084	AH-INF_18084,AH-EFF_104836,MN-INF_198173
JI13_221235	JI13_221235
